PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
18163,2020-04-14,PG,PROCTER & GAMBLE CO,116.25000,121.47000,120.96000,10474219,0.043208,120.96000,120.97000,118.76000,0.028171,0.028068,0.019400,0.019208,0.030573
18163,2020-04-15,PG,PROCTER & GAMBLE CO,119.59000,123.42000,121.22000,14192867,0.002149,121.22000,121.27000,120.86000,-0.023057,-0.023104,-0.026455,-0.026501,-0.022030
18163,2020-04-16,PG,PROCTER & GAMBLE CO,119.90000,122.50000,121.50000,12020154,0.002310,121.67000,121.68000,122.35000,0.004197,0.004189,-0.006668,-0.006709,0.005817
18163,2020-04-17,PG,PROCTER & GAMBLE CO,120.54000,124.99000,124.69000,15899789,0.026255,124.65000,124.66000,122.45000,0.027687,0.027655,0.032660,0.032620,0.026794
18163,2020-04-20,PG,PROCTER & GAMBLE CO,120.54000,123.23000,120.60000,10832031,-0.032801,120.54000,120.55000,121.47000,-0.015553,-0.015577,-0.011511,-0.011589,-0.017881
18163,2020-04-21,PG,PROCTER & GAMBLE CO,118.43000,120.30000,119.68000,9465410,-0.007629,119.67000,119.68000,119.50000,-0.029210,-0.029232,-0.017875,-0.017925,-0.030675
18163,2020-04-22,PG,PROCTER & GAMBLE CO,118.78000,120.28000,119.40000,10260970,-0.002340,119.39000,119.40000,119.99000,0.021875,0.021818,0.015250,0.015167,0.022930
18163,2020-04-23,PG,PROCTER & GAMBLE CO,118.05000,119.67000,119.40000,17277010,0.006622,119.40000,119.41000,118.65000,0.001250,0.001187,0.010179,0.010146,-0.000539
18163,2020-04-24,PG,PROCTER & GAMBLE CO,118.62000,119.76000,118.78000,12751920,-0.005193,118.69000,118.70000,119.10000,0.013045,0.013024,0.009656,0.009611,0.013918
18163,2020-04-27,PG,PROCTER & GAMBLE CO,116.90000,119.19000,117.45000,10635683,-0.011197,117.37000,117.40000,119.19000,0.017511,0.017493,0.028557,0.028542,0.014714
18163,2020-04-28,PG,PROCTER & GAMBLE CO,116.17000,117.91000,116.89000,9957960,-0.004768,116.89000,116.90000,117.10000,-0.002298,-0.002303,0.012304,0.012293,-0.005242
18163,2020-04-29,PG,PROCTER & GAMBLE CO,115.07610,118.04500,117.08000,8707867,0.001625,117.09000,117.10000,117.52000,0.028865,0.028790,0.040460,0.040370,0.026584
18163,2020-04-30,PG,PROCTER & GAMBLE CO,115.66000,118.28000,117.87000,10026382,0.006748,117.70000,117.71000,115.92000,-0.013076,-0.013137,-0.019332,-0.019409,-0.009212
18163,2020-05-01,PG,PROCTER & GAMBLE CO,116.32000,118.37000,116.82000,7366547,-0.008908,116.83000,116.89000,117.60000,-0.028041,-0.028171,-0.028944,-0.029083,-0.028059
18163,2020-05-04,PG,PROCTER & GAMBLE CO,115.00000,117.20000,115.77000,5635970,-0.008988,115.78000,115.79000,117.09000,0.004810,0.004795,0.003996,0.003949,0.004250
18163,2020-05-05,PG,PROCTER & GAMBLE CO,115.21000,117.26000,116.01000,5425339,0.002073,116.00000,116.01000,115.80000,0.008738,0.008694,0.003523,0.003497,0.009041
18163,2020-05-06,PG,PROCTER & GAMBLE CO,112.89000,116.14000,113.10000,7892197,-0.025084,113.09000,113.10000,115.54000,-0.005853,-0.005940,-0.008204,-0.008256,-0.006979
18163,2020-05-07,PG,PROCTER & GAMBLE CO,111.82000,114.14000,112.17000,8764179,-0.008223,112.19000,112.21000,114.06000,0.013322,0.013014,0.015041,0.014913,0.011505
18163,2020-05-08,PG,PROCTER & GAMBLE CO,113.39000,116.30000,115.95000,9283095,0.033699,115.94000,115.95000,113.52000,0.018605,0.018450,0.026622,0.026483,0.016872
18163,2020-05-11,PG,PROCTER & GAMBLE CO,114.92000,116.01000,115.31000,6947540,-0.005520,115.30000,115.31000,115.75000,-0.000441,-0.000451,-0.004087,-0.004115,0.000177
18163,2020-05-12,PG,PROCTER & GAMBLE CO,114.14000,115.90000,114.55000,6734364,-0.006591,114.54000,114.56000,115.20000,-0.020370,-0.020495,-0.018736,-0.018864,-0.020544
18163,2020-05-13,PG,PROCTER & GAMBLE CO,113.72500,115.35000,113.92000,9312622,-0.005500,113.88000,113.89000,114.28000,-0.019027,-0.019083,-0.027333,-0.027424,-0.017463
18163,2020-05-14,PG,PROCTER & GAMBLE CO,111.25000,114.45000,113.81000,9310039,-0.000966,113.85000,113.86000,113.54000,0.010302,0.010068,0.003296,0.003026,0.011525
18163,2020-05-15,PG,PROCTER & GAMBLE CO,112.05000,114.79000,114.61000,10695105,0.007029,114.71000,114.72000,113.93000,0.005234,0.005131,0.008224,0.008113,0.003926
18163,2020-05-18,PG,PROCTER & GAMBLE CO,114.71000,116.99000,116.21000,10021012,0.013960,116.14000,116.15000,116.03000,0.033368,0.033256,0.045796,0.045701,0.031501
18163,2020-05-19,PG,PROCTER & GAMBLE CO,112.34000,115.63500,112.44000,8047555,-0.032441,112.40000,112.41000,115.09000,-0.009706,-0.009772,-0.008125,-0.008165,-0.010484
18163,2020-05-20,PG,PROCTER & GAMBLE CO,112.13000,113.77000,113.28000,6593798,0.007471,113.27000,113.28000,113.00000,0.017387,0.017253,0.022291,0.022215,0.016651
18163,2020-05-21,PG,PROCTER & GAMBLE CO,111.43000,113.20000,111.62000,6552661,-0.014654,111.67000,111.70000,112.80000,-0.006646,-0.006709,-0.000303,-0.000416,-0.007774
18163,2020-05-22,PG,PROCTER & GAMBLE CO,111.76000,113.60000,112.60000,5572017,0.008780,112.55000,112.56000,112.29000,0.002656,0.002539,0.002900,0.002866,0.002354
18163,2020-05-26,PG,PROCTER & GAMBLE CO,111.68000,114.15000,112.03000,10432431,-0.005062,112.09000,112.14000,114.15000,0.014186,0.014163,0.024626,0.024599,0.012289
18163,2020-05-27,PG,PROCTER & GAMBLE CO,111.82000,113.97000,113.89000,8279675,0.016603,113.89000,113.90000,112.50000,0.014962,0.014949,0.020346,0.020326,0.014827
