PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
21936,2022/4/13,PFE,PFIZER INC,52.7,53.82,53.1,15777806,-0.000188,53.1,53.11,53.13,0.013356,0.013214,0.013674,0.01356,0.011175
21936,2022/4/14,PFE,PFIZER INC,53.04,53.9094,53.12,17240120,0.000377,53.12,53.13,53.4,-0.011685,-0.01169,-0.008326,-0.008381,-0.012144
21936,2022/4/18,PFE,PFIZER INC,51.63,53.11,51.84,17065045,-0.024096,51.85,51.86,52.83,-0.002124,-0.00213,-0.009658,-0.009698,-0.000205
21936,2022/4/19,PFE,PFIZER INC,49.37,51.88,50.18,33441510,-0.032022,50.18,50.19,51.66,0.016324,0.016239,0.012954,0.012892,0.016058
21936,2022/4/20,PFE,PFIZER INC,49.21,50.16,49.75,24751803,-0.008569,49.73,49.75,50,-0.000861,-0.000871,-0.000075,-0.000091,-0.000619
21936,2022/4/21,PFE,PFIZER INC,48.92,50.01,49.11,19105575,-0.012864,49.11,49.12,49.93,-0.016871,-0.016932,-0.019458,-0.01954,-0.014753
21936,2022/4/22,PFE,PFIZER INC,47.9,49.1,48.13,22156801,-0.019955,48.13,48.14,48.95,-0.026382,-0.02642,-0.017404,-0.017433,-0.02774
21936,2022/4/25,PFE,PFIZER INC,47.12,49.19,48.95,27390591,0.017037,48.95,48.96,47.85,0.005326,0.005315,0.00124,0.001227,0.005698
21936,2022/4/26,PFE,PFIZER INC,48.92,50.25,49.03,25366482,0.001634,49.03,49.06,48.99,-0.028338,-0.028347,-0.024434,-0.024446,-0.028146
21936,2022/4/27,PFE,PFIZER INC,48.21,49.91,49.74,25819237,0.014481,49.73,49.74,49.11,0.001297,0.001286,-0.001817,-0.001849,0.002098
21936,2022/4/28,PFE,PFIZER INC,49.485,50.7699,50.51,28227723,0.01548,50.55,50.56,50.44,0.022979,0.022902,0.012195,0.01213,0.024747
21936,2022/4/29,PFE,PFIZER INC,49,50.335,49.07,28343298,-0.028509,49.08,49.09,49.87,-0.033543,-0.033638,-0.017716,-0.017776,-0.036285
21936,2022/5/2,PFE,PFIZER INC,47.46,48.76,48.34,36228410,-0.014877,48.45,48.46,47.68,0.005966,0.005917,0.005146,0.005059,0.005675
21936,2022/5/3,PFE,PFIZER INC,47.7,50.04,49.29,33716935,0.019652,49.31,49.33,48.87,0.005109,0.0051,0.006211,0.006196,0.004837
21936,2022/5/4,PFE,PFIZER INC,47.91,49.87,49.66,28613655,0.007507,49.68,49.7,48.89,0.027983,0.027962,0.017719,0.017688,0.029862
21936,2022/5/5,PFE,PFIZER INC,47.55,49.55,48.45,28333001,-0.024366,48.56,48.58,49.46,-0.036281,-0.036384,-0.031048,-0.031096,-0.03565
21936,2022/5/6,PFE,PFIZER INC,48.04,49.215,49.04,19891434,0.012178,49.06,49.07,48.09,-0.008396,-0.008523,-0.01459,-0.014644,-0.005674
21936,2022/5/9,PFE,PFIZER INC,47.77,49.17,48.64,25012347,-0.008157,48.66,48.68,48.38,-0.035487,-0.035549,-0.04038,-0.040423,-0.032037
21936,2022/5/10,PFE,PFIZER INC,48.685,49.9,49.49,27335888,0.017475,49.48,49.49,49.04,0.001277,0.001268,-0.003265,-0.0033,0.002458
21936,2022/5/11,PFE,PFIZER INC,49.03,50.235,49.45,29699499,-0.000808,49.45,49.46,49.07,-0.017115,-0.017157,-0.022909,-0.022976,-0.016463
21936,2022/5/12,PFE,PFIZER INC,48.72,50.43,50.39,33468441,0.027098,50.42,50.43,49,0.00147,0.001178,0.005678,0.005529,-0.001296
21936,2022/5/13,PFE,PFIZER INC,49.68,50.79,49.92,22423685,-0.009327,49.9,49.91,50.38,0.026999,0.026881,0.030828,0.030672,0.02387
21936,2022/5/16,PFE,PFIZER INC,49.87,51.05,50.67,19435565,0.015024,50.68,50.69,49.87,-0.004679,-0.004741,-0.00176,-0.001805,-0.003946
21936,2022/5/17,PFE,PFIZER INC,50.18,51.52,51.34,19918199,0.013223,51.34,51.36,50.95,0.020557,0.020512,0.023178,0.023145,0.02017
21936,2022/5/18,PFE,PFIZER INC,50.16,51.42,50.4,22275985,-0.018309,50.4,50.43,51.22,-0.037661,-0.037821,-0.025583,-0.025605,-0.040395
21936,2022/5/19,PFE,PFIZER INC,49.59,50.885,50.65,19865522,0.00496,50.65,50.66,50,-0.002115,-0.002238,0.005998,0.0059,-0.005834
21936,2022/5/20,PFE,PFIZER INC,51.13,52.6999,52.47,31250361,0.035933,52.46,52.47,51.265,-0.000026,-0.000056,-0.003057,-0.003132,0.000146
21936,2022/5/23,PFE,PFIZER INC,52.48,53.695,52.88,24035842,0.007814,52.85,52.86,52.58,0.016398,0.01631,0.008201,0.008123,0.018555
21936,2022/5/24,PFE,PFIZER INC,52.71,53.608,53.41,26729783,0.010023,53.45,53.46,52.71,-0.010605,-0.010632,-0.015893,-0.015944,-0.008121
